Codice Provincia (Storico)(1);Progressivo del Comune (2);Denominazione in italiano; Provincia
001;001;Agliè;Torino
001;002;Airasca;Torino
001;003;Ala di Stura;Torino
001;004;Albiano d'Ivrea;Torino
001;006;Almese;Torino
001;007;Alpette;Torino
001;008;Alpignano;Torino
001;009;Andezeno;Torino
001;010;Andrate;Torino
001;011;Angrogna;Torino
001;012;Arignano;Torino
001;013;Avigliana;Torino
001;014;Azeglio;Torino
001;015;Bairo;Torino
001;016;Balangero;Torino
001;017;Baldissero Canavese;Torino
001;018;Baldissero Torinese;Torino
001;019;Balme;Torino
001;020;Banchette;Torino
001;021;Barbania;Torino
001;022;Bardonecchia;Torino
001;023;Barone Canavese;Torino
001;024;Beinasco;Torino
001;025;Bibiana;Torino
001;026;Bobbio Pellice;Torino
001;027;Bollengo;Torino
001;028;Borgaro Torinese;Torino
001;029;Borgiallo;Torino
001;030;Borgofranco d'Ivrea;Torino
001;031;Borgomasino;Torino
001;032;Borgone Susa;Torino
001;033;Bosconero;Torino
001;034;Brandizzo;Torino
001;035;Bricherasio;Torino
001;036;Brosso;Torino
001;037;Brozolo;Torino
001;038;Bruino;Torino
001;039;Brusasco;Torino
001;040;Bruzolo;Torino
001;041;Buriasco;Torino
001;042;Burolo;Torino
001;043;Busano;Torino
001;044;Bussoleno;Torino
001;045;Buttigliera Alta;Torino
001;046;Cafasse;Torino
001;047;Caluso;Torino
001;048;Cambiano;Torino
001;049;Campiglione Fenile;Torino
001;050;Candia Canavese;Torino
001;051;Candiolo;Torino
001;052;Canischio;Torino
001;053;Cantalupa;Torino
001;054;Cantoira;Torino
001;055;Caprie;Torino
001;056;Caravino;Torino
001;057;Carema;Torino
001;058;Carignano;Torino
001;059;Carmagnola;Torino
001;060;Casalborgone;Torino
001;061;Cascinette d'Ivrea;Torino
001;062;Caselette;Torino
001;063;Caselle Torinese;Torino
001;064;Castagneto Po;Torino
001;065;Castagnole Piemonte;Torino
001;066;Castellamonte;Torino
001;067;Castelnuovo Nigra;Torino
001;068;Castiglione Torinese;Torino
001;069;Cavagnolo;Torino
001;070;Cavour;Torino
001;071;Cercenasco;Torino
001;072;Ceres;Torino
001;073;Ceresole Reale;Torino
001;074;Cesana Torinese;Torino
001;075;Chialamberto;Torino
001;076;Chianocco;Torino
001;077;Chiaverano;Torino
